,Product Name,Price,Ratings,Reviews
0,"REDMI A3X (Olive Green, 64 GB)","₹5,999",4.1,"7,690 Ratings & 352 Reviews"
1,"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,999",4.5,"52,328 Ratings & 3,100 Reviews"
2,"REDMI A5 (Just Black, 64 GB)","₹6,499",4.2,"1,433 Ratings & 77 Reviews"
3,"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999",4.2,"55,519 Ratings & 4,288 Reviews"
4,"REDMI A3X (Ocean Green, 64 GB)","₹5,999",4.1,"7,690 Ratings & 352 Reviews"
5,"POCO C71 (Cool Blue, 128 GB)","₹6,999",4.1,"4,873 Ratings & 296 Reviews"
6,"MOTOROLA g05 (Plum Red, 64 GB)","₹7,299",4.2,"35,633 Ratings & 2,690 Reviews"
7,"POCO C75 5G (Silver Stardust, 64 GB)","₹7,699",4.3,"68,883 Ratings & 3,593 Reviews"
8,"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,499",4.2,"54,857 Ratings & 3,224 Reviews"
9,"Motorola g45 5G (Pink Lavender, 128 GB)","₹10,999",4.3,"44,960 Ratings & 2,823 Reviews"
10,"vivo T4x 5G (Marine Blue, 128 GB)","₹13,999",4.4,"69,912 Ratings & 3,861 Reviews"
11,"POCO C71 (Power Black, 64 GB)","₹6,399",3.9,"13,786 Ratings & 773 Reviews"
12,"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999",4.3,"1,76,567 Ratings & 9,355 Reviews"
13,"POCO C75 5G (Enchanted Green, 64 GB)","₹7,699",4.3,"68,883 Ratings & 3,593 Reviews"
14,"REDMI 13 5G (Orchid Pink, 128 GB)","₹13,999",4.3,"9,382 Ratings & 554 Reviews"
15,"Motorola g45 5G (Pink Lavender, 128 GB)","₹11,999",4.3,"1,76,567 Ratings & 9,355 Reviews"
16,"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹12,999",4.3,"13,796 Ratings & 1,280 Reviews"
17,"POCO C71 (Desert Gold, 128 GB)","₹6,999",4.1,"4,873 Ratings & 296 Reviews"
18,"vivo T4x 5G (Pronto Purple, 128 GB)","₹13,999",4.4,"69,912 Ratings & 3,861 Reviews"
19,"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹9,999",4.2,"51,965 Ratings & 3,198 Reviews"
20,"REDMI A3X (Midnight Black, 64 GB)","₹5,999",4.1,"7,690 Ratings & 352 Reviews"
21,"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,499",4.3,"38,710 Ratings & 2,029 Reviews"
22,"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299",4.2,"35,633 Ratings & 2,690 Reviews"
23,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹20,999",4.4,"1,50,662 Ratings & 10,513 Reviews"
24,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹20,999",4.4,"1,50,662 Ratings & 10,513 Reviews"
25,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999",4.3,"1,76,567 Ratings & 9,355 Reviews"
26,"vivo T4x 5G (Pronto Purple, 256 GB)","₹16,999",4.5,"52,328 Ratings & 3,100 Reviews"
27,Samsung Guru Music 2 B310ED,₹988,3.2,"12,274 Ratings & 971 Reviews"
28,"Infinix SMART 9 HD (Neo Titanium, 64 GB)","₹6,699",4.2,"2,661 Ratings & 195 Reviews"
29,"POCO C71 (Power Black, 128 GB)","₹6,999",4.1,"4,873 Ratings & 296 Reviews"
30,"realme C61 (Marble Black, 64 GB)","₹7,699",4.3,"8,475 Ratings & 298 Reviews"
31,"POCO C75 5G (Enchanted Green, 128 GB)","₹8,499",4.3,"68,883 Ratings & 3,593 Reviews"
32,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,499",4.1,"13,426 Ratings & 989 Reviews"
33,"realme P2 Pro 5G (Parrot Green, 128 GB)","₹15,499",4.4,"15,865 Ratings & 1,160 Reviews"
34,"Infinix SMART 9 HD (Mint Green, 64 GB)","₹6,699",4.2,"2,661 Ratings & 195 Reviews"
35,"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4.2,"55,519 Ratings & 4,288 Reviews"
36,"Motorola g45 5G (Viva Magenta, 128 GB)","₹11,999",4.3,"1,76,567 Ratings & 9,355 Reviews"
37,"realme C61 (Marble Black, 128 GB)","₹8,199",4.3,"17,371 Ratings & 646 Reviews"
38,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,799",4.1,"5,919 Ratings & 458 Reviews"
39,"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,699",4.3,"68,883 Ratings & 3,593 Reviews"
40,"IQOO Z10X 5G (Ultramarine, 128 GB)","₹13,600",4.4,975 Ratings & 68 Reviews
41,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹8,999",4.1,"13,426 Ratings & 989 Reviews"
42,"realme C61 (Safari Green, 128 GB)","₹8,199",4.3,"17,371 Ratings & 646 Reviews"
43,"realme Narzo N61 (Vyage Blue, 64 GB)","₹7,608",4.3,"5,210 Ratings & 250 Reviews"
44,"realme P3 5G (Space Silver, 256 GB)","₹18,499",4.4,"9,846 Ratings & 762 Reviews"
45,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199",3.9,"1,57,035 Ratings & 9,914 Reviews"
46,"REDMI A5 (Pondicherry Blue, 64 GB)","₹6,499",4.2,"1,433 Ratings & 77 Reviews"
47,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹18,999",4.5,"1,22,920 Ratings & 8,092 Reviews"
48,"vivo Y19e (Titanium Silver, 64 GB)","₹7,999",4.3,"1,061 Ratings & 40 Reviews"
49,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹8,499",4.1,"13,426 Ratings & 989 Reviews"
50,"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹9,999",4.2,"55,519 Ratings & 4,288 Reviews"
51,Nokia 105 Classic with Charger,₹999,3.7,"5,435 Ratings & 350 Reviews"
52,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹14,999",4.3,45 Ratings & 3 Reviews
53,"IQOO Z10X 5G (Titanium, 128 GB)","₹13,600",4.4,975 Ratings & 68 Reviews
54,"REDMI 14C 5G (Stardust Purple, 64 GB)","₹9,499",4.2,"3,321 Ratings & 205 Reviews"
55,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹18,999",4.5,"1,22,920 Ratings & 8,092 Reviews"
56,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,295",3.9,"1,57,035 Ratings & 9,914 Reviews"
57,"POCO M7 5G (Ocean Blue, 128 GB)","₹9,499",4.1,"20,506 Ratings & 1,168 Reviews"
58,"REDMI A5 (Pondicherry Blue, 128 GB)","₹7,499",4.2,"1,112 Ratings & 64 Reviews"
59,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
60,"realme P2 Pro 5G (Parrot Green, 256 GB)","₹17,749",4.4,"16,928 Ratings & 1,373 Reviews"
61,"Motorola G85 5G (Olive Green, 128 GB)","₹16,999",4.4,"2,02,277 Ratings & 10,531 Reviews"
62,"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,058",4.3,"38,710 Ratings & 2,029 Reviews"
63,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",4.2,"1,875 Ratings & 127 Reviews"
64,"vivo T4x 5G (Marine Blue, 128 GB)","₹14,999",4.5,"52,328 Ratings & 3,100 Reviews"
65,"POCO M7 Pro 5G (Lavender Frost, 256 GB)","₹14,999",4.3,"5,901 Ratings & 626 Reviews"
66,"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹11,499",4.2,"10,373 Ratings & 678 Reviews"
67,Samsung Guru Music 2 B310ED,"₹1,350",3.2,"12,274 Ratings & 971 Reviews"
68,"REDMI 13 5G (Black Diamond, 128 GB)","₹13,999",4.3,"9,382 Ratings & 554 Reviews"
69,"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)","₹12,999",4.3,"2,246 Ratings & 230 Reviews"
70,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","₹11,499",4.3,"8,414 Ratings & 901 Reviews"
71,"realme GT 6 (Fluid Silver, 256 GB)","₹27,999",4.5,"2,371 Ratings & 230 Reviews"
72,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹20,999",4.4,"1,50,662 Ratings & 10,513 Reviews"
73,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
74,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
75,Samsung B310ED,₹970,4.1,24 Ratings & 3 Reviews
